Date : 2023-08-11 18:56:14
Directory : /Users/jasonboyett/Documents/Coding/GitHub/speedread
Total : 73 files,  13035 codes, 205 comments, 370 blanks, all 13610 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      9,380 |          5 |          2 |      9,387 |
| TypeScript JSX     |         36 |      2,506 |         10 |        188 |      2,704 |
| TypeScript         |         23 |        833 |        146 |        116 |      1,095 |
| Prisma             |          1 |        138 |          0 |         23 |        161 |
| JavaScript         |          7 |        129 |         38 |         26 |        193 |
| JSON with Comments |          1 |         29 |          6 |          1 |         36 |
| CSS                |          1 |         17 |          0 |         11 |         28 |
| Markdown           |          1 |          3 |          0 |          3 |          6 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         73 |     13,035 |        205 |        370 |     13,610 |
| . (Files)                                                                                      |         13 |      9,515 |         26 |         23 |      9,564 |
| prisma                                                                                         |          1 |        138 |          0 |         23 |        161 |
| src                                                                                            |         59 |      3,382 |        179 |        324 |      3,885 |
| src (Files)                                                                                    |          2 |         49 |         23 |         16 |         88 |
| src/componants                                                                                 |         11 |      1,324 |          8 |         97 |      1,429 |
| src/componants (Files)                                                                         |         10 |      1,232 |          8 |         92 |      1,332 |
| src/componants/tests                                                                           |          1 |         92 |          0 |          5 |         97 |
| src/cva                                                                                        |          4 |        172 |          0 |         21 |        193 |
| src/hooks                                                                                      |          3 |        129 |          2 |         18 |        149 |
| src/pages                                                                                      |         24 |      1,147 |          3 |         82 |      1,232 |
| src/pages (Files)                                                                              |         10 |        768 |          1 |         35 |        804 |
| src/pages/api                                                                                  |          1 |         16 |          1 |          3 |         20 |
| src/pages/api/trpc                                                                             |          1 |         16 |          1 |          3 |         20 |
| src/pages/exercises                                                                            |         13 |        363 |          1 |         44 |        408 |
| src/server                                                                                     |          6 |        205 |         84 |         30 |        319 |
| src/server (Files)                                                                             |          1 |         10 |          0 |          5 |         15 |
| src/server/api                                                                                 |          5 |        195 |         84 |         25 |        304 |
| src/server/api (Files)                                                                         |          3 |         55 |         84 |         15 |        154 |
| src/server/api/routers                                                                         |          2 |        140 |          0 |         10 |        150 |
| src/stores                                                                                     |          3 |         54 |          6 |         13 |         73 |
| src/styles                                                                                     |          1 |         17 |          0 |         11 |         28 |
| src/utils                                                                                      |          5 |        285 |         53 |         36 |        374 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                       | language           | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/.eslintrc.cjs                             | JavaScript         |         33 |          2 |          3 |         38 |
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/README.md                                 | Markdown           |          3 |          0 |          3 |          6 |
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/bable.config.js                           | JavaScript         |          4 |          0 |          1 |          5 |
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/next.config.mjs                           | JavaScript         |         10 |         11 |          3 |         24 |
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/package-lock.json                         | JSON               |      9,293 |          0 |          1 |      9,294 |
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/package.json                              | JSON               |         81 |          0 |          1 |         82 |
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/postcss.config.cjs                        | JavaScript         |          7 |          0 |          2 |          9 |
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/prettier.config.cjs                       | JavaScript         |         16 |          1 |          2 |         19 |
| /Users/jasonboyett/Documents/Coding/GitHub/speedread/prisma/schema.prisma                      | Prisma             |        138 |          0 |         23 |        161 |
